enst	entrez	tsea	pLI	oe_lof_upper	mis_z	subre	module	go	corum	string	target
ENST00000454394	91833	0	0.91532	0.367	1.8456	0	M1	2	no	0	0
ENST00000454402	5985	0	0.00050356	0.75	1.2229	3	M7	6	no	0	0
ENST00000454516	25904	0	0.98194	0.305	1.781	0	M1	7	no	0	0
ENST00000454590	9053	1	0.42439	0.378	0.70262	0	other	2	no	0	0
ENST00000454682	4666	0	0.00016268	0.581	-0.35411	0	M7	0	no	0	0
ENST00000454765	134285	0	7.77E-09	1.874	-0.17229	0	M4	0	no	0	0
ENST00000454782	222659	0	2.52E-06	1.944	-0.085582	0	other	0	no	0	0
ENST00000454853	2569	0	8.65E-14	1.246	0.72649	0	other	4	no	1	0
ENST00000454872	254827	0	8.73E-08	0.713	-1.8179	0	other	0	no	0	0
ENST00000454898	5825	0	0.00277	0.445	2.5774	0	M7	0	no	0	0
ENST00000455140	58513	0	0.99964	0.245	1.9019	0	M7	0	no	0	0
ENST00000455146	57511	0	6.36E-16	1.02	-0.18392	0	other	0	no	0	0
ENST00000455418	23760	0	0.98151	0.286	2.1163	0	other	0	no	0	0
ENST00000455480	80724	0	1.02E-30	1.085	0.37046	0	other	0	no	0	0
ENST00000455516	151295	0	7.36E-07	0.771	1.0885	0	other	0	no	0	0
ENST00000455523	222236	0	1.71E-06	1.007	0.37263	2	other	3	no	0	0
ENST00000455537	3798	1	0.99995	0.228	3.5984	2	other	11	no	0	0
ENST00000455566	55844	0	0.91708	0.375	2.1447	0	M7	2	no	1	0
ENST00000455662	55577	0	4.55E-09	1.216	-0.43431	1	other	0	no	0	0
ENST00000455827	387836	0	2.19E-06	1.841	0.65814	0	other	0	no	0	0
ENST00000455841	9569	0	0.90039	0.329	2.6604	2	other	1	no	0	0
ENST00000455880	2741	0	0.00015816	0.762	1.4209	1	other	20	no	1	0
ENST00000456013	5777	0	0.99999	0.132	2.8659	0	other	4	no	0	0
ENST00000456015	169026	0	7.43E-12	1.515	0.1088	0	other	20	no	0	0
ENST00000456023	51255	0	0.001721	1.4	0.022289	0	M7	0	no	0	0
ENST00000456047	117159	0	6.09E-06	1.696	-0.51558	0	other	0	no	0	0
ENST00000456144	26230	0	1.16E-05	0.438	1.3019	5	M1	11	no	0	0
ENST00000456145	29125	0	0.016355	1.078	0.97891	0	other	0	no	0	0
ENST00000456212	5136	0	0.0038367	0.596	0.87203	3	M7	0	no	0	0
ENST00000456237	2352	0	0.015409	1.096	-0.0049545	0	other	1	no	0	0
ENST00000456315	55635	0	7.64E-10	0.795	0.4427	7	other	1	no	0	0
ENST00000456397	83877	0	0.0064454	1.017	0.47978	0	M7	0	no	0	0
ENST00000456580	726	0	1.83E-09	0.808	0.66392	1	M4	0	no	0	0
ENST00000456733	94122	1	0.00026919	0.648	-0.38888	0	other	2	no	0	0
ENST00000456783	57615	0	0.18998	1.578	-0.79435	5	M1	0	no	0	0
ENST00000456860	57476	1	0.99953	0.238	3.203	1	M13	2	no	0	0
ENST00000456936	51014	0	0.47966	0.619	1.4981	0	M7	1	no	0	0
ENST00000456972	9827	0	2.80E-10	1.108	0.58838	0	other	3	no	0	0
ENST00000456989	51195	0	0.52668	0.419	1.8508	0	M13	0	no	0	0
ENST00000457054	10015	0	0.70554	0.36	0.97635	0	M7	11	no	0	0
ENST00000457139	10282	0	0.024408	1.39	0.56661	0	M7	1	no	0	0
ENST00000457152	1820	0	0.31086	1.868	0.45666	1	M1	9	no	0	0
ENST00000457159	9727	0	0.99912	0.231	1.4311	0	other	4	no	0	0
ENST00000457167	7266	0	0.99007	0.291	2.5078	0	other	0	no	0	0
ENST00000457314	58498	0	8.66E-06	1.63	-0.13761	0	M7	2	no	0	0
ENST00000457346	57758	0	8.41E-22	0.924	0.83766	0	other	0	no	0	0
ENST00000457351	132160	0	6.03E-07	0.989	0.88807	0	other	0	no	0	0
ENST00000457354	81542	0	0.00074607	0.819	-0.22968	3	other	0	no	0	0
ENST00000457408	222068	0	0.24339	0.659	0.73819	0	other	0	no	0	0
ENST00000457415	26502	0	9.78E-13	1.287	-0.02265	0	M7	1	no	0	0
ENST00000457563	154075	0	8.52E-16	1.173	0.14052	0	other	0	no	0	0
ENST00000457616	10644	0	0.23861	0.428	2.9099	8	M1	1	no	0	0
ENST00000457710	23098	0	1.70E-10	1.143	1.9032	0	M1	3	no	0	0
ENST00000457749	7576	0	0.0074328	1.831	-1.2297	5	M1	0	no	0	0
ENST00000457907	116039	0	0.0037652	0.898	1.5298	0	other	35	no	1	0
ENST00000458013	81609	0	0.99913	0.231	2.1942	0	M7	0	no	0	0
ENST00000458031	25864	0	4.39E-10	0.985	0.20224	0	other	0	no	0	0
ENST00000458078	340351	0	5.06E-15	0.991	2.0056	0	other	0	no	0	0
ENST00000458143	155061	0	0.65205	0.416	1.414	0	M1	4	no	0	0
ENST00000458198	91368	0	0.34205	1.062	-0.26364	0	M7	0	no	0	0
ENST00000458420	64084	0	3.52E-06	0.594	0.6797	1	other	6	no	0	0
ENST00000458432	7139	0	0.0059994	0.623	1.1852	2	other	20	no	0	0
ENST00000458578	7332	0	0.83844	0.499	2.8779	0	M7	13	no	0	0
ENST00000458580	161829	0	2.67E-15	1.266	0.095613	0	other	0	no	0	0
ENST00000458591	23256	0	0.99962	0.236	2.0497	0	M7	6	no	0	0
ENST00000458610	940	0	0.0035727	1.172	0.94059	0	other	9	no	0	0
ENST00000458649	55626	0	0.99999	0.204	2.8528	0	M7	4	no	0	0
ENST00000458659	8848	0	0.9599	0.328	-0.88133	0	M7	0	no	0	0
ENST00000458714	284346	0	1.95E-06	1.612	0.93329	0	other	0	no	0	0
ENST00000460006	8760	0	6.86E-07	0.862	2.4002	0	other	0	no	0	0
ENST00000460219	23787	0	0.69498	0.457	2.5986	0	other	4	no	0	0
ENST00000460851	83939	0	6.04E-09	0.878	1.0978	0	other	1	no	0	0
ENST00000461105	30819	1	0.015425	0.7	1.8737	0	other	33	no	1	0
ENST00000461366	7732	1	0.021835	0.541	1.4981	1	other	11	no	0	0
ENST00000461940	55303	0	2.43E-05	1.972	-0.28086	0	other	0	no	0	0
ENST00000462284	4193	0	0.99981	0.164	2.3326	0	M7	34	no	0	0
ENST00000462430	51065	0	0.014124	1.636	0.92663	0	other	6	no	0	0
ENST00000462460	9181	0	1	0.188	3.7374	0	M7	24	no	0	0
ENST00000462683	286451	0	0.89735	0.406	1.2122	0	other	0	no	0	0
ENST00000463781	4585	0	2.79E-54	0.993	-18.875	0	other	1	no	0	0
ENST00000463876	5333	0	1.74E-19	1.103	0.24131	0	other	1	no	0	0
ENST00000463941	6352	0	0.051494	1.655	-0.23356	0	other	13	no	0	0
ENST00000464233	6091	0	7.27E-16	0.597	1.0722	3	M1	53	no	0	0
ENST00000464265	51227	0	0.0018935	1.368	-0.55789	0	other	0	no	0	0
ENST00000464300	165631	0	6.74E-09	0.961	0.6311	0	other	1	no	0	0
ENST00000464492	336	0	0.0035588	1.628	0.25289	0	other	11	no	0	0
ENST00000464506	9367	0	0.83175	0.51	1.2764	0	other	4	no	0	0
ENST00000464606	56829	0	5.23E-07	0.632	1.4882	0	other	2	no	0	0
ENST00000464848	79989	0	2.43E-08	0.725	1.3354	0	M1	0	no	0	0
ENST00000465139	8125	0	0.98961	0.218	2.5283	1	M7	4	no	1	0
ENST00000465148	54619	0	0.99796	0.165	1.5985	8	M1	0	no	0	0
ENST00000465271	29097	0	0.021712	0.996	0.23058	0	M7	0	no	0	0
ENST00000465995	120526	0	5.01E-07	1.815	0.66038	0	other	0	no	0	0
ENST00000466444	51389	0	0.91032	0.39	1.151	0	other	0	no	0	0
ENST00000466490	58477	0	0.0058306	0.827	-0.0057016	0	other	0	no	0	0
ENST00000466548	122060	1	0.882	0.385	0.90872	0	M7	0	no	0	0
ENST00000467317	81853	0	6.91E-09	1.955	-0.11191	0	M7	7	no	0	0
ENST00000467460	51555	1	0.0079927	0.49	2.8453	2	other	0	no	0	0
ENST00000467789	6747	0	0.35264	0.716	0.73223	0	M7	0	no	0	0
ENST00000467889	91860	0	5.92E-05	1.547	-0.70111	0	other	0	no	0	0
ENST00000467963	65980	0	0.015373	0.522	1.2636	0	M7	7	no	1	0
ENST00000468317	92170	0	0.00096926	0.789	-0.51355	0	M7	0	no	0	0
ENST00000468694	28988	0	0.017939	0.553	1.1122	0	M7	42	no	0	0
ENST00000468695	339487	0	0.70542	0.495	0.5925	0	M1	1	no	0	0
ENST00000468812	5478	0	0.55734	0.714	1.9886	0	M1	13	no	0	0
ENST00000468888	23122	1	1	0.201	3.872	0	other	37	no	0	0
ENST00000469044	25852	0	1	0.139	2.7905	0	M7	0	no	0	0
ENST00000469176	4726	0	0.17616	1.633	-0.35876	0	other	0	no	0	0
ENST00000469640	1612	0	0.99233	0.288	2.4581	1	M1	15	no	0	0
ENST00000469830	349136	0	1.24E-06	1.211	0.49021	0	M1	0	no	0	0
ENST00000470402	147700	0	4.75E-18	1.347	-1.2883	0	other	0	no	0	0
ENST00000470487	27333	0	3.97E-11	0.731	0.10324	0	other	1	no	0	0
ENST00000470604	387694	0	3.40E-06	0.819	0.33606	0	other	0	no	0	0
ENST00000471027	6447	1	0.00040374	1.424	0.47302	0	other	1	no	0	0
ENST00000471115	148423	0	0.047382	1.103	-0.12021	0	other	0	no	0	0
ENST00000471714	25890	0	3.30E-28	0.724	1.5434	1	other	0	no	0	0
ENST00000472232	573	0	6.53E-06	1.163	-0.52053	0	other	4	no	0	0
ENST00000472487	114803	0	0.043365	0.408	1.2187	0	M7	7	no	0	0
ENST00000472509	6878	0	1.41E-07	0.743	2.0054	0	M7	20	yes	0	0
ENST00000472947	51068	0	5.35E-08	0.803	0.25448	0	M7	5	no	0	0
ENST00000473414	51122	0	2.54E-09	1.819	0.68893	2	M7	0	no	0	0
ENST00000473539	4345	1	0.41359	0.56	0.6558	1	M7	7	no	0	0
ENST00000474524	116931	1	1	0.184	3.132	1	other	1	no	0	0
ENST00000474531	11170	1	1.88E-08	1.794	0.18013	0	other	22	no	0	0
ENST00000474597	6745	0	0.022903	0.659	1.4733	0	M7	0	no	0	0
ENST00000474627	91647	0	2.21E-09	1.438	0.68879	0	M1	1	no	0	0
ENST00000474629	54625	0	0.0067415	0.395	2.6258	0	other	1	no	0	0
ENST00000474844	387338	0	1.23E-06	0.914	0.83207	0	other	5	no	0	0
ENST00000474855	5899	0	0.0014143	1.096	1.8504	0	other	11	no	0	0
ENST00000474879	91289	0	2.40E-50	1.944	-2.5224	0	other	0	no	0	0
ENST00000474889	5793	0	5.07E-06	0.451	0.23016	0	other	4	no	0	0
ENST00000475243	9217	0	0.58111	0.559	1.2548	0	other	4	no	0	0
ENST00000475541	29942	1	0.961	0.295	1.5482	0	M1	0	no	0	0
ENST00000475668	8972	0	2.10E-52	0.808	-0.46814	0	other	0	yes	0	0
ENST00000476120	10793	1	0.027091	1.341	0.38394	1	M7	0	no	0	0
ENST00000476166	53828	0	0.00031646	1.492	-0.3026	0	other	5	no	0	0
ENST00000476371	63931	0	0.00016481	1.664	0.34944	0	M7	1	no	0	0
ENST00000476707	85445	1	4.60E-08	0.543	-1.4519	1	other	3	no	0	0
ENST00000476781	57129	0	0.00042814	0.892	-0.22367	0	M7	1	no	0	0
ENST00000476941	7220	0	0.012904	0.473	3.0472	0	other	14	no	0	0
ENST00000476959	131	0	1.51E-11	1.617	-0.61289	0	other	2	no	0	0
ENST00000476993	64856	0	0.0052878	1.066	-0.14969	0	M7	0	no	0	0
ENST00000477224	79012	1	0.99696	0.221	3.3196	0	other	4	no	0	0
ENST00000477665	257068	0	4.66E-08	1.453	0.33675	3	M1	0	no	0	0
ENST00000477717	81849	1	0.16967	0.612	0.54106	2	M7	0	no	0	0
ENST00000477737	200403	1	9.74E-28	0.94	0.25905	0	other	0	no	0	0
ENST00000477892	26355	0	3.24E-06	1.521	0.59919	0	other	9	no	0	0
ENST00000477973	23429	0	0.17721	0.724	0.65596	1	M7	8	no	1	0
ENST00000478244	55208	0	2.97E-08	1.513	0.11788	0	other	4	no	0	0
ENST00000478300	132204	1	0.0041913	0.88	0.41918	1	other	7	no	0	0
ENST00000478753	22928	0	0.0022721	0.993	1.7117	0	other	0	no	0	0
ENST00000478873	51207	0	2.25E-06	1.587	0.35421	0	other	0	no	0	0
ENST00000478945	151871	0	4.79E-09	1.355	0.16422	0	other	0	no	0	0
ENST00000479077	151306	0	1.36E-09	1.951	0.095694	0	other	0	no	0	0
ENST00000479257	813	0	0.77058	0.43	1.5552	1	M7	0	no	0	0
ENST00000479303	373156	0	1.94E-06	1.352	0.63504	0	other	0	no	0	0
ENST00000479665	64343	0	0.0069113	0.687	0.70041	0	other	0	no	0	0
ENST00000480796	140456	0	1.96E-06	1.611	-0.0022245	0	other	2	no	0	0
ENST00000480945	84301	0	0.99819	0.208	2.7291	0	other	2	no	0	0
ENST00000481065	201633	0	0.032462	0.896	0.19625	0	other	0	no	0	0
ENST00000481138	158431	0	4.22E-10	1.079	0.25379	0	M1	0	no	0	0
ENST00000481272	83856	1	0.23386	0.477	1.5204	3	M1	0	no	0	0
ENST00000481273	5754	0	0.99721	0.275	2.2407	2	other	11	no	0	0
ENST00000481739	6256	0	0.99852	0.157	2.9681	0	other	9	no	0	0
ENST00000481889	10062	0	0.037682	0.612	1.2799	0	other	10	no	0	0
ENST00000481909	80007	0	0.012888	0.721	0.47112	0	M7	0	no	0	0
ENST00000482108	23089	1	0.87274	0.427	2.0846	4	M7	7	no	0	0
ENST00000482504	51100	0	0.99407	0.241	1.6282	0	M1	9	no	0	0
ENST00000482604	4711	0	0.0016193	1.065	0.0067824	0	other	0	no	0	0
ENST00000482804	29970	1	0.98656	0.229	1.9804	0	other	0	no	0	0
ENST00000483017	1397	0	0.00018101	1.026	0.0045622	0	M4	0	no	0	0
ENST00000483063	56655	0	0.00069897	1.68	-0.32994	0	M1	6	no	0	0
ENST00000483722	79865	0	1.14E-09	1.717	0.29291	0	other	0	no	0	0
ENST00000484457	25827	1	0.0075282	0.52	2.4594	0	M4	3	no	0	0
ENST00000484800	55388	0	4.38E-15	0.838	-0.16703	7	other	2	no	0	0
ENST00000485816	3700	0	6.63E-13	0.767	1.3056	0	other	0	no	0	0
ENST00000485972	1020	1	0.13892	0.562	3.0676	0	other	56	no	0	0
ENST00000486171	5644	0	1.32E-12	1.85	-2.0603	0	other	0	no	0	0
ENST00000486442	114818	0	0.98532	0.301	3.3962	2	other	0	no	0	0
ENST00000486659	389125	0	0.00067261	1.69	-0.14707	0	other	0	no	0	0
ENST00000487099	2649	0	0.98169	0.305	1.8258	0	other	2	no	0	0
ENST00000487273	8754	0	0.029431	0.417	1.9036	0	other	15	no	0	0
ENST00000487519	7019	0	0.17259	0.61	1.1091	2	M7	1	no	0	0
ENST00000488300	221687	1	0.0046762	1.529	0.22406	5	M1	0	no	0	0
ENST00000488353	11079	0	0.37879	0.576	2.1255	0	other	0	no	0	0
ENST00000488417	84970	0	0.0093207	0.593	0.2515	0	other	0	no	0	0
ENST00000488423	285381	0	0.066294	1.52	-0.091296	0	M7	4	no	0	0
ENST00000488633	9391	0	0.0012454	0.761	1.1163	0	M7	1	no	0	0
ENST00000488653	64770	0	3.52E-15	0.954	0.77365	3	M1	1	no	0	0
ENST00000489294	127933	0	0.83404	0.406	0.84423	0	other	14	no	0	0
ENST00000489301	221391	0	0.52016	0.472	1.8469	0	other	11	no	0	0
ENST00000489426	26576	0	0.38938	0.469	0.11396	1	other	7	no	0	0
ENST00000489432	29803	0	0.09473	0.539	2.4331	0	other	2	no	0	0
ENST00000489595	57060	0	0.16311	1.016	1.0632	0	M1	10	no	0	0
ENST00000489671	7029	0	0.9995	0.181	1.6916	3	other	13	no	0	0
ENST00000489711	6565	1	5.48E-20	1.053	0.20137	0	other	0	no	0	0
ENST00000490337	7881	1	0.042256	0.507	2.1526	0	other	21	no	1	0
ENST00000491143	9480	1	0.90701	0.394	1.3177	3	other	0	no	1	0
ENST00000491306	6168	0	0.0051255	1.494	0.715	0	M1	0	no	0	0
ENST00000491381	90203	0	2.32E-07	1.447	0.20049	0	other	0	no	0	0
ENST00000491431	136051	0	2.35E-12	1.145	-1.4503	0	M7	0	no	0	0
ENST00000491660	27230	0	0.14423	1.753	0.7111	0	M7	0	no	0	0
ENST00000492406	55032	0	1.89E-06	1.153	-0.071317	0	M7	0	no	0	0
ENST00000492622	22862	0	0.99998	0.221	1.5293	0	M7	0	no	0	0
ENST00000492758	9296	0	0.014736	1.619	0.66473	0	other	3	no	0	0
ENST00000492933	9861	0	0.031591	0.565	1.2156	0	M7	24	no	0	0
ENST00000493112	8801	0	5.72E-14	1.497	-0.48793	0	other	0	no	0	0
ENST00000493196	10069	0	1.21E-07	1.331	0.42872	0	other	0	no	0	0
ENST00000493344	8890	0	0.96133	0.33	0.80203	0	M7	15	no	0	0
ENST00000494426	9022	0	6.23E-09	1.889	1.1449	0	other	0	no	1	0
ENST00000494511	5376	0	0.02304	1.417	-0.064599	0	other	3	no	0	0
ENST00000495880	1849	0	0.69024	0.503	2.5708	1	other	2	no	0	0
ENST00000495893	80012	0	1	0.097	1.7208	1	M7	2	no	1	0
ENST00000496212	10268	0	0.0038169	1.604	0.59531	0	other	15	no	0	0
ENST00000496455	8833	0	0.99825	0.244	2.3686	4	other	0	no	0	0
ENST00000496514	5158	1	2.62E-27	1.187	-0.79771	0	other	13	no	0	0
ENST00000496811	170506	0	0.47221	0.347	1.8412	0	M7	42	no	0	0
ENST00000496902	2128	0	6.98E-07	1.517	-0.80517	1	other	0	no	1	0
ENST00000497081	4239	0	0.01737	0.817	1.0326	2	other	6	no	0	0
ENST00000497194	10068	0	0.00028033	1.525	-0.27734	0	other	0	no	0	0
ENST00000497454	5863	0	0.026981	0.45	1.9659	0	other	0	no	0	0
ENST00000497547	8568	0	7.49E-05	0.738	-0.32947	0	M7	0	no	0	0
ENST00000497571	1316	0	0.97946	0.252	1.8535	3	M1	1	no	0	0
ENST00000497771	414332	0	3.08E-05	1.368	0.32951	0	other	0	no	0	0
ENST00000497933	219527	1	0.037827	0.862	0.43843	6	M1	23	no	0	0
ENST00000497985	57047	0	1.19E-06	1.217	0.87745	0	other	0	no	0	0
ENST00000498165	151742	0	0.47287	0.535	2.0626	2	M7	0	no	0	0
ENST00000498273	54596	0	5.33E-07	1.328	-0.88737	0	other	0	no	0	0
ENST00000498619	846	0	0.046698	0.451	3.1237	0	other	4	no	0	0
ENST00000498926	192111	0	6.41E-05	1.219	0.96415	0	other	0	no	0	0
ENST00000500576	57128	0	0.19951	1.538	0.36217	0	other	0	no	0	0
ENST00000501597	6171	0	0.18377	1.603	0.71898	1	other	0	no	0	0
ENST00000501748	9831	0	6.93E-06	1.153	0.85075	2	M7	0	no	0	0
ENST00000502307	374	0	0.52997	0.745	1.0233	0	other	7	no	0	0
ENST00000502346	153339	0	0.00042515	1.793	0.41084	0	other	2	no	0	0
ENST00000502486	389206	0	0.98484	0.292	1.1002	4	M1	0	no	0	0
ENST00000502492	11267	0	0.00045727	0.883	1.1333	0	other	8	no	0	0
ENST00000502583	285782	0	8.71E-14	0.977	0.88624	0	other	0	no	0	0
ENST00000502732	27	0	3.64E-07	0.58	1.6853	0	M1	18	no	0	0
ENST00000502773	56034	0	0.99374	0.198	1.1736	3	M1	1	no	0	0
ENST00000502818	131034	1	0.13597	0.453	2.6785	1	other	3	no	0	0
ENST00000502852	131870	0	0.0046241	1.901	0.301	0	M7	3	no	0	0
ENST00000502935	7511	0	0.33296	0.399	2.4247	0	M1	0	no	0	0
ENST00000502994	202151	1	7.80E-16	1.177	0.42598	0	other	9	no	0	0
ENST00000503057	22998	0	2.83E-08	0.489	1.2415	2	M7	9	no	0	0
ENST00000503070	2793	0	0.010014	1.757	0.77569	0	other	8	no	0	0
ENST00000503131	201191	1	0.00073677	0.715	1.1299	1	M1	4	no	0	0
ENST00000503176	5164	0	3.71E-06	0.919	2.0463	1	other	7	no	0	0
ENST00000503362	60559	0	0.81991	0.529	2.0398	0	other	0	no	0	0
ENST00000503451	255743	0	5.32E-10	0.887	0.019711	1	M13	24	no	0	0
ENST00000503682	51138	0	0.99925	0.188	3.1889	0	other	5	no	0	0
ENST00000503787	493869	0	0.053068	1.061	0.6147	4	other	0	no	0	0
ENST00000504087	57182	0	0.9792	0.305	0.70472	5	M1	0	no	0	0
ENST00000504169	55602	0	0.96386	0.329	0.53856	0	M7	7	no	0	0
ENST00000504199	2638	0	2.73E-11	1.084	0.39901	0	other	0	no	0	0
ENST00000504595	23194	0	0.31497	0.535	2.1296	3	other	1	no	0	0
ENST00000504830	81792	0	2.48E-17	0.688	0.97964	2	other	5	no	0	0
ENST00000504924	54622	0	0.00093584	1.196	0.71498	0	M7	0	no	0	0
ENST00000504952	1633	0	2.61E-05	0.962	1.1015	0	other	0	no	0	0
ENST00000504968	10427	0	0.99999	0.211	1.2685	0	M7	3	no	0	0
ENST00000505177	10296	0	0.0012034	0.675	2.6896	0	other	5	no	0	0
ENST00000505374	54514	0	0.99826	0.263	2.0515	0	other	7	no	0	0
ENST00000505425	266727	1	0.95549	0.324	2.5393	3	M4	6	no	0	0
ENST00000505459	6728	0	0.0069014	1.001	0.25717	0	M1	1	no	0	0
ENST00000505472	22872	0	2.48E-05	0.447	1.2073	0	M7	3	no	0	0
ENST00000505624	153657	0	5.02E-11	1.227	0.56646	0	M1	0	no	0	0
ENST00000505667	23022	0	5.25E-06	0.508	0.88148	2	other	7	no	0	0
ENST00000505689	10007	0	1.93E-08	1.572	1.7045	0	M7	0	no	0	0
ENST00000505747	80745	0	1.54E-09	1.187	-0.61705	0	other	5	no	0	0
ENST00000505820	142678	0	2.80E-07	0.62	0.62299	0	other	0	no	0	0
ENST00000505992	1977	0	0.94133	0.354	2.5813	0	other	9	no	0	0
ENST00000506447	55125	0	1.24E-22	0.602	0.99822	1	M7	9	no	0	0
ENST00000506469	25844	0	0.03384	0.622	0.611	0	M7	1	no	0	0
ENST00000506538	134430	0	0.0005724	0.466	-1.7958	0	M7	0	no	0	0
ENST00000506618	221823	0	0.28673	0.786	-0.44358	0	other	0	no	0	0
ENST00000506684	7478	0	0.0013063	0.891	1.3055	0	other	19	no	0	0
ENST00000506823	442117	1	4.32E-09	0.823	2.1396	1	other	1	no	0	0
ENST00000507069	2555	1	0.99341	0.265	3.1888	0	other	29	no	0	0
ENST00000507110	10884	0	1.59E-08	1.103	-0.93437	0	other	1	no	0	0
ENST00000507469	9887	0	0.99998	0.219	2.1934	0	M7	4	no	0	0
ENST00000507544	285521	0	5.91E-15	1.699	0.13741	0	M7	0	no	0	0
ENST00000507866	57537	1	0.0031696	0.428	0.58479	1	other	0	no	0	0
ENST00000508342	4734	0	7.47E-13	0.609	0.33149	2	other	36	no	0	0
ENST00000508487	2920	0	3.61E-07	1.948	-0.099154	0	other	0	no	0	0
ENST00000508593	323	0	0.065197	0.44	2.1225	0	other	8	no	0	0
ENST00000508628	57674	0	2.25E-55	0.654	2.3534	0	other	2	no	0	0
ENST00000508632	132299	0	3.53E-05	1.34	0.28887	0	M1	1	no	0	0
ENST00000508784	152485	0	0.9998	0.226	1.9236	0	M7	0	no	0	0
ENST00000508789	84303	0	7.07E-09	1.705	-0.56354	0	M1	0	no	0	0
ENST00000508883	27039	0	1.15E-13	0.964	1.2346	0	other	3	no	0	0
ENST00000509005	84135	0	0.99976	0.168	1.4505	1	M7	1	no	0	0
ENST00000509167	51166	0	0.0062761	0.62	2.3488	0	M1	0	no	0	0
ENST00000509437	54819	0	0.087122	0.9	0.074848	0	M1	0	no	0	0
ENST00000509479	55534	0	0.99984	0.223	0.90215	3	M1	7	no	0	0
ENST00000509777	8821	0	0.62673	0.348	1.2742	0	other	0	no	0	0
ENST00000509841	79931	0	0.01544	0.561	0.54851	1	other	3	no	0	0
ENST00000510092	29945	0	0.00065936	0.463	2.5121	0	M7	11	no	0	0
ENST00000510118	6196	0	0.016069	0.432	2.5921	0	other	3	no	0	0
ENST00000510123	51491	0	0.011953	1.178	0.49394	0	M7	0	no	0	0
ENST00000510617	256309	0	3.79E-20	1.269	0.66375	0	other	0	no	0	0
ENST00000510708	285605	0	2.81E-09	1.605	-1.3692	0	other	0	no	0	0
ENST00000511045	4547	0	5.98E-07	0.626	1.2322	3	other	3	no	0	0
ENST00000511455	338692	0	0.34912	0.428	1.6409	0	M4	2	no	0	0
ENST00000511533	3083	0	3.15E-08	0.84	-0.56988	1	other	0	no	0	0
ENST00000511608	3818	0	6.61E-11	0.873	0.55028	0	other	0	no	0	0
ENST00000511664	817	0	0.0051862	0.506	2.9262	0	other	37	no	0	0
ENST00000511833	170960	0	0.094789	1.886	-1.7727	0	M1	0	no	0	0
ENST00000512369	27071	0	0.17169	0.611	1.8704	0	other	0	no	0	0
ENST00000512478	58505	0	0.018353	1.043	0.99757	0	other	0	no	0	0
ENST00000512485	246175	0	0.99956	0.178	3.6084	1	other	8	no	0	0
ENST00000512635	133619	0	3.20E-13	1.494	0.014201	5	M1	1	no	0	0
ENST00000512701	158219	0	2.18E-15	0.973	-1.2967	1	other	0	no	0	0
ENST00000512721	256987	0	6.64E-06	0.765	0.96943	0	M4	0	no	0	0
ENST00000512788	7345	1	0.98799	0.224	0.47896	0	other	7	no	0	0
ENST00000513104	57113	0	0.00019479	0.541	2.3053	1	M4	8	no	0	0
ENST00000513237	54790	0	1.50E-54	1.365	1.608	4	M1	16	no	0	0
ENST00000513247	283237	0	0.00048659	1.371	-1.8261	0	M7	0	no	0	0
ENST00000513374	25816	0	0.10536	1.245	0.57353	1	other	0	no	0	0
ENST00000513610	4651	0	3.16E-05	0.374	1.618	0	other	0	no	0	0
ENST00000513748	11248	0	0.12094	0.812	0.86514	2	M4	0	no	0	0
ENST00000513874	283284	0	3.96E-41	1.306	1.1974	0	other	0	no	0	0
ENST00000513900	23107	0	3.21E-06	0.824	0.055141	0	M7	2	no	0	0
ENST00000514019	10941	0	2.90E-13	1.18	-1.7738	0	other	1	no	0	0
ENST00000514044	28990	0	7.71E-10	1.133	0.83501	0	M7	0	no	0	0
ENST00000514135	153396	0	4.40E-05	0.703	1.3585	0	M1	0	no	0	0
ENST00000514516	51421	0	0.00070389	0.524	0.24857	2	M7	0	no	0	0
ENST00000514743	10611	0	0.0016769	0.552	0.67859	0	other	26	no	0	0
ENST00000514800	10227	0	1.91E-09	1.295	-0.67729	0	M1	1	no	0	0
ENST00000514860	11275	1	0.99985	0.185	3.8855	0	other	0	no	0	0
ENST00000515256	340069	0	1.21E-08	1.26	-0.57954	0	other	0	no	0	0
ENST00000515393	79772	1	9.31E-05	0.493	1.2327	1	other	14	no	0	0
ENST00000515425	79628	1	8.34E-16	0.813	-0.71307	0	other	0	no	0	0
ENST00000515768	1452	0	0.99758	0.215	4.3022	0	M7	14	no	0	0
ENST00000515799	26064	0	0.99122	0.292	1.6221	7	other	0	no	0	0
ENST00000517328	2675	1	0.097532	0.69	0.14084	2	M7	3	no	0	0
ENST00000517399	79805	0	0.59117	0.492	1.0617	7	M1	3	no	0	0
ENST00000517503	4061	0	0.061701	1.008	0.85281	0	other	0	no	0	0
ENST00000517638	138046	1	0.45873	0.541	0.93119	0	M7	0	no	0	0
ENST00000517669	8992	0	0.28367	1.225	0.14282	0	other	5	no	0	0
ENST00000517746	284	0	0.95208	0.337	1.3025	0	other	18	no	0	0
ENST00000517860	11030	0	0.96343	0.29	1.2287	0	other	2	no	0	0
ENST00000517878	57210	0	0.0074754	0.558	1.0967	2	other	0	no	0	0
ENST00000517887	5747	0	0.99938	0.261	3.4408	0	other	33	no	0	0
ENST00000517905	8728	0	0.00020307	0.492	1.9641	0	M4	0	no	0	0
ENST00000517956	114907	0	0.99692	0.222	1.5746	1	other	2	no	0	0
